"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"21","","iPF(2α)-VI","493","-1.14","-0.54","2.37","2.35","-0.02 (-0.09, 0.04)","0.42","0.63","2.5","2.47","-0.03 (-0.09, 0.03)","0.32","0.62"
"22","","8,12-iso-iPF(2a)-VII","493","-1.14","-0.54","2.28","2.26","-0.02 (-0.13, 0.09)","0.73","0.81","2.38","2.33","-0.04 (-0.15, 0.07)","0.44","0.69"
"23","","Combined urinary oxidative stress biomarkers","493","-1.14","-0.54","2.67","2.64","-0.04 (-0.14, 0.07)","0.53","0.69","2.87","2.82","-0.04 (-0.15, 0.07)","0.47","0.69"
"24","","Mean change in cortisol","491","-1.14","-0.58","-0.01","-0.01","0 (0, 0)","0.99","1","-0.01","-0.01","0 (0, 0)","0.83","0.85"
"25","","Pre-stressor salivary cortisol","539","-1.14","-0.58","-2.13","-2.09","0.04 (-0.03, 0.11)","0.26","0.62","-2.08","-2.05","0.03 (-0.04, 0.1)","0.47","0.69"
"26","","Post-stressor salivary cortisol","496","-1.14","-0.58","-1.33","-1.42","-0.09 (-0.34, 0.15)","0.47","0.63","-1.23","-1.34","-0.1 (-0.33, 0.13)","0.39","0.68"
"27","","Mean change in sAA","505","-1.11","-0.58","-2.32","-2.32","0 (0, 0)","1","1","-2.98","-2.48","0.5 (-0.35, 1.35)","0.25","0.59"
"28","","Pre-stressor sAA","537","-1.11","-0.58","4","4.06","0.06 (-0.01, 0.14)","0.11","0.49","3.98","4.02","0.04 (-0.15, 0.22)","0.71","0.82"
"29","","Post-stressor sAA","512","-1.11","-0.58","4.38","4.45","0.07 (-0.02, 0.16)","0.15","0.49","4.37","4.42","0.05 (-0.04, 0.15)","0.26","0.59"
"30","","Mean Arterial Pressure","540","-1.12","-0.58","64.24","64.48","0.25 (-0.38, 0.88)","0.45","0.63","64.09","64.47","0.38 (-0.25, 1)","0.24","0.59"
"31","","Mean resting heart rate","542","-1.13","-0.58","110.41","107.59","-2.78 (-6.25, 0.69)","0.12","0.49","111.27","109.2","-2.03 (-5.55, 1.5)","0.26","0.59"
"32","","Overall mean methylation of GCR","537","-1.11","-0.58","0.32","0.29","-0.03 (-0.06, 0)","0.03","0.36","0.45","0.42","-0.03 (-0.06, 0)","0.04","0.37"
"33","","Methylation of CpG#12","282","-1.11","-0.6","-4.33","-4.35","-0.02 (-0.08, 0.03)","0.41","0.63","-4.41","-4.4","0.01 (-0.05, 0.07)","0.74","0.82"
"34","","","","","","","","","","","","","","",""
"35","Inflammation sum score","IPF(2a)-III","405","-0.64","0.63","-0.65","-0.52","0.13 (-0.02, 0.29)","0.09","0.49","-0.53","-0.51","0.02 (-0.06, 0.09)","0.65","0.81"
"36","","2,3-dinor-iPF(2α)-III","405","-0.64","0.63","1.52","1.59","0.06 (-0.04, 0.17)","0.22","0.56","1.55","1.65","0.09 (0, 0.19)","0.05","0.37"
"37","","iPF(2α)-VI","405","-0.64","0.63","2.26","2.33","0.08 (-0.07, 0.22)","0.3","0.62","2.37","2.45","0.08 (-0.06, 0.22)","0.25","0.59"
"38","","8,12-iso-iPF(2a)-VII","405","-0.64","0.63","2.27","2.31","0.04 (-0.03, 0.11)","0.3","0.62","2.21","2.25","0.04 (-0.03, 0.11)","0.32","0.62"
"39","","Combined urinary oxidative stress biomarkers","405","-0.64","0.63","2.53","2.7","0.17 (-0.06, 0.39)","0.14","0.49","2.79","2.83","0.05 (-0.05, 0.15)","0.34","0.62"
"40","","Mean change in cortisol","467","-0.63","0.64","-0.01","-0.01","0 (0, 0)","0.85","0.89","-0.01","-0.01","0 (0, 0)","0.77","0.82"
"41","","Pre-stressor salivary cortisol","507","-0.64","0.65","-2.13","-2.16","-0.03 (-0.21, 0.15)","0.78","0.84","-2.08","-2.11","-0.03 (-0.21, 0.15)","0.77","0.82"
"42","","Post-stressor salivary cortisol","472","-0.63","0.64","-1.29","-1.32","-0.03 (-0.15, 0.08)","0.57","0.71","-1.27","-1.24","0.02 (-0.1, 0.14)","0.75","0.82"
"43","","Mean change in sAA","474","-0.64","0.66","-2.52","-2.99","-0.47 (-1.87, 0.93)","0.52","0.69","-2.38","-2.89","-0.51 (-1.89, 0.88)","0.48","0.69"
"44","","Pre-stressor sAA","506","-0.64","0.65","4.03","4.01","-0.02 (-0.12, 0.07)","0.62","0.75","4.05","4.02","-0.03 (-0.12, 0.07)","0.59","0.76"
"45","","Post-stressor sAA","480","-0.64","0.65","4.58","4.33","-0.25 (-0.52, 0.02)","0.07","0.49","4.59","4.34","-0.25 (-0.52, 0.02)","0.07","0.39"
"46","","Mean Arterial Pressure","509","-0.64","0.65","64.43","64.16","-0.28 (-0.97, 0.42)","0.45","0.63","64.46","64.06","-0.4 (-1.12, 0.31)","0.27","0.59"
"47","","Mean resting heart rate","510","-0.64","0.65","110.26","107.41","-2.85 (-5.28, -0.42)","0.02","0.36","112.52","110.02","-2.5 (-4.76, -0.23)","0.03","0.37"
"48","","Overall mean methylation of GCR","507","-0.63","0.65","0.3","0.26","-0.04 (-0.09, 0.01)","0.15","0.49","0.44","0.4","-0.04 (-0.1, 0.02)","0.21","0.59"
"49","","Methylation of CpG#12","264","-0.64","0.79","-4.22","-4.37","-0.15 (-0.28, -0.01)","0.03","0.36","-4.34","-4.44","-0.1 (-0.23, 0.03)","0.12","0.59"
