"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"21","","iPF(2α)-VI","493","2.52","3.89","2.36","2.34","-0.03 (-0.11, 0.06)","0.55","1","2.5","2.48","-0.03 (-0.11, 0.05)","0.51","0.94"
"22","","8,12-iso-iPF(2a)-VII","493","2.52","3.89","2.28","2.25","-0.03 (-0.13, 0.07)","0.52","1","2.39","2.36","-0.03 (-0.13, 0.07)","0.53","0.94"
"23","","Combined urinary oxidative stress biomarkers","493","2.52","3.89","2.64","2.62","-0.01 (-0.17, 0.14)","0.87","1","2.85","2.85","0 (-0.16, 0.15)","0.96","1"
"24","","Mean change in cortisol","491","2.51","3.84","-0.01","-0.01","0 (0, 0)","0.08","0.81","-0.01","-0.01","0 (0, 0)","0.06","0.87"
"25","","Pre-stressor salivary cortisol","539","2.53","3.82","-2.12","-2.09","0.04 (-0.05, 0.13)","0.44","1","-2.07","-2.05","0.02 (-0.07, 0.12)","0.64","0.94"
"26","","Post-stressor salivary cortisol","496","2.51","3.83","-1.36","-1.29","0.08 (-0.06, 0.21)","0.28","1","-1.31","-1.19","0.13 (-0.01, 0.27)","0.07","0.87"
"27","","Mean change in sAA","505","2.53","3.82","-1.5","-2.95","-1.46 (-2.57, -0.34)","0.01","0.31","-1.91","-3.14","-1.23 (-2.33, -0.13)","0.03","0.87"
"28","","Pre-stressor sAA","537","2.52","3.81","4.03","4.04","0.01 (-0.1, 0.12)","0.87","1","4.03","4.03","0 (-0.11, 0.12)","0.98","1"
"29","","Post-stressor sAA","512","2.53","3.82","4.39","4.44","0.05 (-0.09, 0.18)","0.52","1","4.4","4.41","0.01 (-0.12, 0.14)","0.87","0.98"
"30","","Mean Arterial Pressure","540","2.52","3.81","64.12","64.59","0.47 (-0.37, 1.3)","0.28","1","64.15","64.66","0.52 (-0.34, 1.38)","0.24","0.94"
"31","","Mean resting heart rate","542","2.52","3.81","109.07","108.81","-0.26 (-2.37, 1.86)","0.82","1","110.43","111.19","0.75 (-1.45, 2.95)","0.51","0.94"
"32","","Overall mean methylation of GCR","537","2.53","3.81","0.29","0.3","0.01 (-0.03, 0.05)","0.78","1","0.42","0.43","0.02 (-0.02, 0.06)","0.42","0.94"
"33","","Methylation of CpG#12","282","2.51","3.89","-4.32","-4.34","-0.02 (-0.12, 0.08)","0.69","1","-4.35","-4.31","0.04 (-0.05, 0.13)","0.39","0.94"
"34","","","","","","","","","","","","","","",""
"35","sTfR","IPF(2a)-III","493","1.29","1.7","-0.59","-0.58","0.02 (-0.05, 0.08)","0.63","1","-0.5","-0.49","0.01 (-0.06, 0.08)","0.76","0.94"
"36","","2,3-dinor-iPF(2α)-III","493","1.29","1.7","1.61","1.59","-0.01 (-0.05, 0.02)","0.54","1","1.66","1.64","-0.02 (-0.06, 0.02)","0.4","0.94"
"37","","iPF(2α)-VI","493","1.29","1.7","2.36","2.35","-0.01 (-0.06, 0.05)","0.8","1","2.49","2.49","0 (-0.06, 0.05)","0.94","1"
"38","","8,12-iso-iPF(2a)-VII","493","1.29","1.7","2.28","2.27","-0.01 (-0.07, 0.05)","0.82","1","2.32","2.3","-0.02 (-0.09, 0.05)","0.67","0.94"
"39","","Combined urinary oxidative stress biomarkers","493","1.29","1.7","2.66","2.65","-0.01 (-0.11, 0.08)","0.81","1","2.86","2.84","-0.02 (-0.12, 0.08)","0.73","0.94"
"40","","Mean change in cortisol","491","1.29","1.69","-0.01","-0.01","0 (0, 0)","0.17","1","-0.01","-0.01","0 (0, 0)","0.17","0.94"
"41","","Pre-stressor salivary cortisol","539","1.3","1.7","-2.19","-2.11","0.09 (-0.08, 0.26)","0.3","1","-2.12","-2.04","0.08 (-0.08, 0.25)","0.32","0.94"
"42","","Post-stressor salivary cortisol","496","1.29","1.7","-1.32","-1.32","0 (0, 0)","1","1","-1.22","-1.3","-0.08 (-0.18, 0.02)","0.13","0.94"
"43","","Mean change in sAA","505","1.3","1.72","-2.61","-2.06","0.55 (0, 1.1)","0.05","0.76","-3.38","-3.38","0 (-0.01, 0)","0.75","0.94"
"44","","Pre-stressor sAA","537","1.3","1.71","4.02","4.05","0.03 (-0.06, 0.11)","0.59","1","4.05","4.07","0.03 (-0.06, 0.12)","0.56","0.94"
"45","","Post-stressor sAA","512","1.3","1.71","4.43","4.43","-0.01 (-0.11, 0.09)","0.91","1","4.4","4.42","0.02 (-0.08, 0.12)","0.71","0.94"
"46","","Mean Arterial Pressure","540","1.3","1.71","64.45","64.34","-0.11 (-0.76, 0.55)","0.77","1","64.52","64.39","-0.13 (-0.79, 0.54)","0.72","0.94"
"47","","Mean resting heart rate","542","1.3","1.71","108.93","108.93","0 (0, 0)","1","1","111.53","109.34","-2.18 (-4.78, 0.43)","0.1","0.87"
"48","","Overall mean methylation of GCR","537","1.3","1.71","0.29","0.3","0.02 (-0.02, 0.05)","0.33","1","0.42","0.44","0.01 (-0.02, 0.04)","0.44","0.94"
"49","","Methylation of CpG#12","282","1.3","1.71","-4.32","-4.36","-0.04 (-0.1, 0.02)","0.14","1","-4.31","-4.36","-0.05 (-0.11, 0)","0.07","0.87"
"50","","","","","","","","","","","","","","",""
"51","RBP","IPF(2a)-III","493","0.13","0.52","-0.65","-0.58","0.07 (-0.08, 0.22)","0.36","1","-0.55","-0.49","0.06 (-0.1, 0.21)","0.49","0.94"
"52","","2,3-dinor-iPF(2α)-III","493","0.13","0.52","1.55","1.63","0.08 (-0.01, 0.17)","0.08","0.81","1.6","1.63","0.03 (-0.05, 0.11)","0.5","0.94"
"53","","iPF(2α)-VI","493","0.13","0.52","2.37","2.35","-0.02 (-0.07, 0.03)","0.45","1","2.47","2.5","0.03 (-0.1, 0.16)","0.69","0.94"
"54","","8,12-iso-iPF(2a)-VII","493","0.13","0.52","2.14","2.31","0.17 (0, 0.33)","0.05","0.76","2.34","2.32","-0.02 (-0.08, 0.04)","0.46","0.94"
"55","","Combined urinary oxidative stress biomarkers","493","0.13","0.52","2.51","2.69","0.18 (-0.05, 0.41)","0.12","1","2.77","2.87","0.11 (-0.11, 0.33)","0.34","0.94"
"56","","Mean change in cortisol","491","0.12","0.51","-0.01","-0.01","0 (0, 0)","0.49","1","-0.01","-0.01","0 (0, 0)","0.45","0.94"
"57","","Pre-stressor salivary cortisol","539","0.12","0.52","-2.11","-2.09","0.01 (-0.05, 0.08)","0.69","1","-2.07","-2.05","0.02 (-0.05, 0.09)","0.61","0.94"
"58","","Post-stressor salivary cortisol","496","0.12","0.51","-1.32","-1.32","0 (0, 0)","1","1","-1.27","-1.25","0.01 (-0.08, 0.11)","0.8","0.94"
"59","","Mean change in sAA","505","0.12","0.51","-2.32","-2.32","0 (0, 0)","1","1","-3.37","-3.38","-0.01 (-0.03, 0.01)","0.4","0.94"
"60","","Pre-stressor sAA","537","0.12","0.52","4.01","4.06","0.04 (-0.04, 0.13)","0.32","1","4","4.05","0.05 (-0.03, 0.14)","0.23","0.94"
"61","","Post-stressor sAA","512","0.12","0.51","4.41","4.44","0.03 (-0.07, 0.13)","0.53","1","4.39","4.42","0.03 (-0.07, 0.13)","0.6","0.94"
"62","","Mean Arterial Pressure","540","0.12","0.51","64.6","64.21","-0.39 (-1.01, 0.24)","0.23","1","64.61","64.2","-0.41 (-1.04, 0.22)","0.21","0.94"
"63","","Mean resting heart rate","542","0.12","0.52","110.82","110.23","-0.47 (-4.67, 3.73)","0.84","1","112.27","111.44","-0.73 (-4.88, 3.42)","0.74","0.94"
"64","","Overall mean methylation of GCR","537","0.12","0.51","0.29","0.3","0.02 (-0.01, 0.05)","0.26","1","0.42","0.43","0.02 (-0.01, 0.04)","0.32","0.94"
"65","","Methylation of CpG#12","282","0.13","0.53","-4.34","-4.33","0.01 (-0.07, 0.08)","0.86","1","-4.35","-4.34","0 (-0.07, 0.07)","0.99","1"
