"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "
"48","","Overall mean methylation of GCR","507","5.26","10.16","0.43","0.41","-0.02 (-0.06, 0.01)","0.24","0.59"
"49","","Methylation of CpG#12","264","5.18","10.47","-4.32","-4.49","-0.16 (-0.31, -0.02)","0.03","0.31"
"50","","","","","","","","","",""
"51","Inflammation sum score","IPF(2a)-III","405","-0.64","0.63","-0.53","-0.51","0.02 (-0.06, 0.09)","0.65","0.87"
"52","","2,3-dinor-iPF(2α)-III","405","-0.64","0.63","1.55","1.65","0.09 (0, 0.19)","0.05","0.33"
"53","","iPF(2α)-VI","405","-0.64","0.63","2.37","2.45","0.08 (-0.06, 0.22)","0.25","0.59"
"54","","8,12-iso-iPF(2a)-VII","404","-0.64","0.63","2.21","2.25","0.04 (-0.03, 0.11)","0.32","0.64"
"55","","Combined urinary oxidative stress biomarkers","405","-0.64","0.63","2.79","2.83","0.05 (-0.05, 0.15)","0.34","0.64"
"56","","Mean change in cortisol","466","-0.63","0.64","-0.01","-0.01","0 (0, 0)","0.77","0.87"
"57","","Pre-stressor salivary cortisol","506","-0.64","0.65","-2.08","-2.11","-0.03 (-0.21, 0.15)","0.77","0.87"
"58","","Post-stressor salivary cortisol","470","-0.63","0.64","-1.27","-1.24","0.02 (-0.1, 0.14)","0.75","0.87"
"59","","Mean change in sAA","474","-0.64","0.66","-2.38","-2.89","-0.51 (-1.89, 0.88)","0.48","0.72"
"60","","Pre-stressor sAA","504","-0.64","0.65","4.05","4.02","-0.03 (-0.12, 0.07)","0.59","0.8"
"61","","Post-stressor sAA","480","-0.64","0.65","4.59","4.34","-0.25 (-0.52, 0.02)","0.07","0.38"
"62","","Mean Arterial Pressure","509","-0.64","0.65","64.46","64.06","-0.4 (-1.12, 0.31)","0.27","0.59"
"63","","Mean resting heart rate","510","-0.64","0.65","112.52","110.02","-2.5 (-4.76, -0.23)","0.03","0.31"
"64","","Overall mean methylation of GCR","507","-0.63","0.65","0.44","0.4","-0.04 (-0.1, 0.02)","0.21","0.59"
"65","","Methylation of CpG#12","264","-0.64","0.79","-4.34","-4.44","-0.1 (-0.23, 0.03)","0.12","0.59"
